TypeName,Inches,ScreenResolution,Cpu,Ram,OpSys,Weight,Price_euros,TouchScreen,HDD,SSD,Flash Storage,Hybrid,SSHD,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
2 in 1 Convertible,13.3,4.0,14,8,Windows 10,1.37,1950.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,4.0,13,8,Windows 10,1.56,902.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Workstation,15.6,4.0,14,8,Windows 10,2.23,1778.0,0,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,13,4,Windows 10,2.38,1055.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,12,4,No OS,2.2,479.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Notebook,15.6,4.0,14,8,Windows 10,2.0,1388.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,13.3,4.0,12,4,Windows 10,1.44,735.0,0,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,15.0,4.0,14,16,Windows 10,1.23,1849.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ultrabook,12.5,4.0,14,8,Windows 10,1.6,1690.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,15,4,Linux,2.0,398.99,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ultrabook,13.3,4.0,13,8,Windows 10,1.28,935.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,4,Windows 10,2.18,912.5,0,0,0,0,0,1128,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,13,4,Windows 10,2.04,839.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.3,4.0,13,4,Windows 10,1.28,1700.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,15.6,1.0,13,4,Windows 10,2.3,684.8,1,500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.1,1.0,10,4,Windows 10,1.65,348.0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,4.0,14,8,Windows 10,2.2,669.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,15,4,Windows 10,2.2,369.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.3,4.0,13,4,Windows 10,1.28,1799.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,12,4,Linux,2.18,455.7,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Gaming,17.3,4.0,13,12,Windows 10,2.2,1369.9,0,0,0,0,0,1128,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Netbook,11.6,1.0,10,4,Chrome OS,1.25,297.0,0,0,0,32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Notebook,17.3,3.0,2,4,Windows 10,2.8,379.0,0,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,14.0,4.0,13,4,Windows 10,1.95,1265.0,0,0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2 in 1 Convertible,13.3,13.0,14,16,Windows 10,1.42,1399.0,1,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ultrabook,15.0,4.0,14,8,Windows 10,1.17,1699.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ultrabook,14.0,4.0,13,8,Windows 10,1.32,1799.0,0,0,256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Gaming,17.3,14.0,14,16,Windows 10,2.43,2649.0,0,0,0,0,0,2512,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Notebook,13.3,4.0,13,8,Windows 10,1.05,1475.0,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Gaming,15.6,4.0,14,8,Linux,2.62,929.0,0,1000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Notebook,15.6,4.0,14,8,Windows 10,2.04,900.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Notebook,15.6,1.0,12,4,Windows 10,2.18,614.0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
